Num,Mean,Avg Weight,Avg Weight Corrrected,Avg Weight 2,Beta
0,0,0,0,0,0.99
1,-0.4,0.0,-0.4,0.0,0.9
2,0.4,0.0,0.0,0.0,
3,3.1,0.0,1.0,0.3,
4,-2.5,0.0,0.1,0.0,
5,-9.2,-0.1,-1.8,-0.9,
6,-10.4,-0.2,-3.2,-1.8,
7,-10.9,-0.3,-4.4,-2.7,
8,-11.2,-0.4,-5.3,-3.6,
9,-6.1,-0.5,-5.3,-3.8,
10,2.4,-0.4,-4.5,-3.2,
11,4.1,-0.4,-3.7,-2.5,
12,3.3,-0.4,-3.1,-1.9,
13,-5.2,-0.4,-3.3,-2.2,
14,-6.2,-0.5,-3.5,-2.6,
15,-3.7,-0.5,-3.5,-2.7,
16,-1.9,-0.5,-3.4,-2.7,
17,0.7,-0.5,-3.1,-2.3,
18,2,-0.5,-2.8,-1.9,
19,1.9,-0.4,-2.6,-1.5,
20,2.2,-0.4,-2.3,-1.1,
21,4.2,-0.4,-2.0,-0.6,
22,3.6,-0.3,-1.7,-0.2,
23,2.2,-0.3,-1.5,0.1,
24,0.4,-0.3,-1.4,0.1,
25,2.2,-0.3,-1.2,0.3,
26,2.1,-0.3,-1.1,0.5,
27,0.1,-0.2,-1.0,0.4,
28,-1.7,-0.3,-1.1,0.2,
29,-4.5,-0.3,-1.2,-0.2,
30,-7.8,-0.4,-1.5,-1.0,
31,-4.1,-0.4,-1.6,-1.3,
32,-1.2,-0.4,-1.5,-1.3,
33,-5,-0.5,-1.7,-1.7,
34,-7.1,-0.5,-1.9,-2.2,
35,-5.7,-0.6,-2.0,-2.6,
36,-1.5,-0.6,-2.0,-2.5,
37,-2.2,-0.6,-2.0,-2.4,
38,1.4,-0.6,-1.9,-2.0,
39,-2.1,-0.6,-1.9,-2.1,
40,-8.2,-0.7,-2.1,-2.7,
41,-5,-0.7,-2.2,-2.9,
42,-0.1,-0.7,-2.1,-2.6,
43,-1.5,-0.7,-2.1,-2.5,
44,-3.8,-0.8,-2.1,-2.6,
45,-1.5,-0.8,-2.1,-2.5,
46,-2.2,-0.8,-2.1,-2.5,
47,-6.5,-0.8,-2.2,-2.9,
48,-3.2,-0.9,-2.3,-2.9,
49,4.2,-0.8,-2.1,-2.2,
50,6.6,-0.7,-1.9,-1.3,
51,2.3,-0.7,-1.8,-1.0,
52,3.1,-0.7,-1.6,-0.6,
53,5.6,-0.6,-1.5,0.1,
54,10.9,-0.5,-1.2,1.1,
55,4.2,-0.4,-1.0,1.4,
56,2.5,-0.4,-1.0,1.6,
57,-0.7,-0.4,-1.0,1.3,
58,4.9,-0.4,-0.8,1.7,
59,5.4,-0.3,-0.7,2.1,
60,5,-0.3,-0.6,2.3,
